Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Not Graduate,No,3189,2598.0,120.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,5746,0.0,255.0,360.0,1.0,Urban,N
Female,No,0,Graduate,Yes,3463,0.0,122.0,360.0,1.0,Urban,Y
Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,N
Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,Y
Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N
Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y
Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N
Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y
Male,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N
Female,No,3,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,N
Male,Yes,3,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N
Male,Yes,0,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,N
Male,Yes,3,Not Graduate,No,4931,0.0,128.0,360.0,1.0,Semiurban,N
Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,Y
Female,No,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,N
Female,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,Y
Male,Yes,3,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,Y
Female,No,0,Graduate,No,3418,0.0,135.0,360.0,1.0,Rural,N
Female,No,1,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3993,3274.0,207.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,Y
Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,1.0,Rural,Y
Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,N
Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Graduate,No,2301,985.7999878,78.0,180.0,1.0,Urban,Y
Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,20667,0.0,180.0,360.0,1.0,Rural,N
Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,N
Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,N
Male,Yes,2,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,5417,0.0,143.0,480.0,0.0,Urban,N
Male,Yes,0,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,Y
Male,Yes,3,Graduate,No,4416,1250.0,110.0,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y
Female,Yes,1,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,N
Male,Yes,1,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban,N
Male,Yes,0,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,N
Male,Yes,0,Not Graduate,No,2875,1750.0,105.0,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,No,2000,0.0,180.0,360.0,1.0,Urban,N
Female,No,0,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,N
Male,No,0,Graduate,No,20233,0.0,480.0,360.0,1.0,Rural,N
Male,Yes,2,Not Graduate,No,7667,0.0,185.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban,Y
Male,No,0,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,5746,0.0,144.0,84.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,2473,1843.0,159.0,360.0,1.0,Rural,N
Male,Yes,1,Not Graduate,No,3399,1640.0,111.0,180.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2058,2134.0,88.0,360.0,1.0,Urban,Y
Female,No,1,Graduate,No,3541,0.0,112.0,360.0,1.0,Semiurban,Y
Male,Yes,1,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,N
Male,Yes,0,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,Y
Male,Yes,3,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,3601,1590.0,180.0,360.0,1.0,Rural,Y
Female,No,0,Graduate,No,3166,2985.0,132.0,360.0,1.0,Rural,Y
Male,Yes,3,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,Y
Male,Yes,1,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,N
Male,No,0,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,Y
